date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:32:04	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2022%20May%202021%2011:27:42%20GMT	http://jx2.info/robots.txt		(from )
18:32:06	57905/57905	---MC-	200	added ('OK')	text/html	date:Sat,%2022%20May%202021%2011:27:43%20GMT	http://jx2.info/	C:/My%20Web%20Sites/http___jx2.info_/jx2.info/index.html	(from )
18:32:06	234947/234947	---M--	200	added ('OK')	text/css	etag:%22395c3-5bf8b030b8800%22	http://jx2.info/wp-content/plugins/userswp/vendor/ayecode/wp-ayecode-ui/assets/css/ayecode-ui-compatibility.css?ver=4.5.3	C:/My%20Web%20Sites/http___jx2.info_/jx2.info/wp-content/plugins/userswp/vendor/ayecode/wp-ayecode-ui/assets/css/ayecode-ui-compatibility62d0.css	(from http://jx2.info/)
18:32:08	53593/53593	---M--	200	added ('OK')	text/css	etag:%22d159-5a4f695a3bfc0%22	http://jx2.info/wp-includes/css/dist/block-library/style.min.css?ver=5.4.1	C:/My%20Web%20Sites/http___jx2.info_/jx2.info/wp-includes/css/dist/block-library/style.minc225.css	(from http://jx2.info/)
18:32:08	1909/1909	---M--	200	added ('OK')	application/rss+xml	etag:%22cf1ceb0673b7ca063b7d5ae52daeef3e%22	http://jx2.info/?feed=comments-rss2	C:/My%20Web%20Sites/http___jx2.info_/jx2.info/indexa6da.html	(from http://jx2.info/)
18:32:10	47558/47558	---M--	200	added ('OK')	text/css	etag:%22b9c6-588ef5dded840%22	http://jx2.info/wp-includes/css/dashicons.min.css?ver=5.4.1	C:/My%20Web%20Sites/http___jx2.info_/jx2.info/wp-includes/css/dashicons.minc225.css	(from http://jx2.info/)
18:32:12	26431/26431	---M--	200	added ('OK')	text/css	etag:%22673f-5a57e23d24b40%22	http://jx2.info/wp-content/plugins/everest-forms/assets/css/everest-forms.css?ver=1.6.6.1	C:/My%20Web%20Sites/http___jx2.info_/jx2.info/wp-content/plugins/everest-forms/assets/css/everest-forms28ad.css	(from http://jx2.info/)
18:32:13	35747/35747	---MC-	200	added ('OK')	application/rss+xml	etag:%220e2871abf55bdcda7f3e296c67eb0945%22	http://jx2.info/?feed=rss2	C:/My%20Web%20Sites/http___jx2.info_/jx2.info/indexd784.html	(from http://jx2.info/)
18:32:14	111418/111418	---M--	200	added ('OK')	text/css	etag:%221b33a-5a7162798d5c0%22	http://jx2.info/wp-content/themes/VLTK2/style.css?ver=5.4.1	C:/My%20Web%20Sites/http___jx2.info_/jx2.info/wp-content/themes/VLTK2/stylec225.css	(from http://jx2.info/)
18:32:15	10842/10842	---M--	200	added ('OK')	text/css	etag:%222a5a-59f9910c96500%22	http://jx2.info/wp-content/themes/VLTK2/css/responsive.min.css?ver=5.4.1	C:/My%20Web%20Sites/http___jx2.info_/jx2.info/wp-content/themes/VLTK2/css/responsive.minc225.css	(from http://jx2.info/)
18:32:15	17399/17399	---M--	200	added ('OK')	text/css	etag:%2243f7-5a56b5a711f40%22	http://jx2.info/wp-content/themes/VLTK2/css/swiper.min.css?ver=5.4.1	C:/My%20Web%20Sites/http___jx2.info_/jx2.info/wp-content/themes/VLTK2/css/swiper.minc225.css	(from http://jx2.info/)
18:32:15	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%2274bab4578692993514e7f882cc15c218%22	https://use.fontawesome.com/releases/v5.15.3/css/all.css?wpfas=true	C:/My%20Web%20Sites/http___jx2.info_/use.fontawesome.com/releases/v5.15.3/css/all4efe.css	(from http://jx2.info/)
18:32:16	0/0	---M--	200	added ('OK')	text/css	etag:%220-5a57d1972c400%22	http://jx2.info/wp-content/themes/VLTK2/inc/kirki/assets/css/kirki-styles.css?ver=3.0.35.3	C:/My%20Web%20Sites/http___jx2.info_/jx2.info/wp-content/themes/VLTK2/inc/kirki/assets/css/kirki-styles90c0.css	(from http://jx2.info/)
18:32:18	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5333ff613c400%22	http://jx2.info/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/http___jx2.info_/jx2.info/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://jx2.info/)
18:32:20	15087/15087	---M--	200	added ('OK')	application/javascript	etag:%223aef-5bf8b02fc45c0%22	http://jx2.info/wp-content/plugins/userswp/assets/js/users-wp.min.js?ver=1.2.2.16	C:/My%20Web%20Sites/http___jx2.info_/jx2.info/wp-content/plugins/userswp/assets/js/users-wp.minafb9.js	(from http://jx2.info/)
18:32:30	96873/96873	---M--	200	added ('OK')	application/javascript	etag:%2217a69-5890dc7401880%22	http://jx2.info/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/My%20Web%20Sites/http___jx2.info_/jx2.info/wp-includes/js/jquery/jquery4a5f.js	(from http://jx2.info/)
18:32:31	770/770	---M--	200	added ('OK')	text/xml	date:Sat,%2022%20May%202021%2011:28:10%20GMT	http://jx2.info/xmlrpc.php?rsd	C:/My%20Web%20Sites/http___jx2.info_/jx2.info/xmlrpc0db0.php	(from http://jx2.info/)
18:32:31	1045/1045	---M--	200	added ('OK')	text/xml	etag:%22415-4ed4785da9bc0%22	http://jx2.info/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/http___jx2.info_/jx2.info/wp-includes/wlwmanifest.xml	(from http://jx2.info/)
18:32:31	95468/95468	---M--	200	added ('OK')	application/javascript	etag:%22174ec-5bf8b030b8800%22	http://jx2.info/wp-content/plugins/userswp/vendor/ayecode/wp-ayecode-ui/assets/js/select2.min.js?ver=4.0.11	C:/My%20Web%20Sites/http___jx2.info_/jx2.info/wp-content/plugins/userswp/vendor/ayecode/wp-ayecode-ui/assets/js/select2.min1cf2.js	(from http://jx2.info/)
18:32:32	2272/2272	---M--	200	added ('OK')	application/json	date:Sat,%2022%20May%202021%2011:28:10%20GMT	http://jx2.info/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Fjx2.info%2F	C:/My%20Web%20Sites/http___jx2.info_/jx2.info/indexa7c2.json	(from http://jx2.info/)
18:32:32	1/1	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2022%20May%202021%2011:28:11%20GMT	http://jx2.info/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/http___jx2.info_/jx2.info/wp-admin/admin-ajax.12.delayed	(from http://jx2.info/)
18:32:38	136289/136289	---M--	200	added ('OK')	application/javascript	etag:%2221461-5bf8b030b8800%22	http://jx2.info/wp-content/plugins/userswp/vendor/ayecode/wp-ayecode-ui/assets/js/bootstrap.bundle.min.js?ver=4.5.3	C:/My%20Web%20Sites/http___jx2.info_/jx2.info/wp-content/plugins/userswp/vendor/ayecode/wp-ayecode-ui/assets/js/bootstrap.bundle.min62d0.js	(from http://jx2.info/)
